time_s,time_h,z_m,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
197400,54.83333333,0.065,0.152676,0.152578,0.152293,0.151817,0.151152,0.150288,0.149214,0.147920,0.146397,0.144627,0.142583,0.140243,0.137573,0.134501,0.130966,0.126851,0.121978,0.116004,0.108266,0.096813,0.052875
197400,54.83333333,0.070,0.152547,0.152450,0.152166,0.151691,0.151026,0.150164,0.149092,0.147800,0.146280,0.144513,0.142472,0.140136,0.137471,0.134403,0.130874,0.126765,0.121897,0.115931,0.108202,0.096761,0.052865
197400,54.83333333,0.075,0.152355,0.152258,0.151974,0.151501,0.150838,0.149979,0.148909,0.147621,0.146105,0.144343,0.142307,0.139976,0.137318,0.134257,0.130735,0.126635,0.121777,0.115823,0.108106,0.096683,0.052850
197400,54.83333333,0.080,0.152076,0.151978,0.151696,0.151225,0.150565,0.149709,0.148644,0.147361,0.145851,0.144095,0.142067,0.139745,0.137096,0.134045,0.130535,0.126447,0.121604,0.115665,0.107968,0.096571,0.052829
197400,54.83333333,0.085,0.151672,0.151576,0.151296,0.150827,0.150171,0.149320,0.148262,0.146986,0.145485,0.143739,0.141722,0.139412,0.136776,0.133741,0.130247,0.126178,0.121355,0.115440,0.107770,0.096411,0.052799
197400,54.83333333,0.090,0.151049,0.150954,0.150676,0.150212,0.149563,0.148720,0.147671,0.146407,0.144920,0.143189,0.141190,0.138899,0.136284,0.133272,0.129804,0.125763,0.120972,0.115093,0.107467,0.096164,0.052754
197400,54.83333333,0.095,0.150120,0.150026,0.149753,0.149296,0.148656,0.147825,0.146791,0.145545,0.144078,0.142371,0.140398,0.138136,0.135553,0.132576,0.129147,0.125148,0.120404,0.114579,0.107017,0.095799,0.052688
197400,54.83333333,0.100,0.148633,0.148541,0.148274,0.147828,0.147203,0.146392,0.145383,0.144166,0.142731,0.141062,0.139130,0.136915,0.134383,0.131463,0.128096,0.124165,0.119497,0.113759,0.106299,0.095217,0.052584
197400,54.83333333,0.105,0.146275,0.146187,0.145931,0.145502,0.144902,0.144122,0.143150,0.141978,0.140596,0.138986,0.137121,0.134979,0.132529,0.129698,0.126430,0.122608,0.118061,0.112459,0.105163,0.094296,0.052427
197400,54.83333333,0.110,0.142396,0.142314,0.142074,0.141673,0.141112,0.140382,0.139472,0.138373,0.137075,0.135561,0.133803,0.131782,0.129465,0.126781,0.123674,0.120031,0.115684,0.110309,0.103281,0.092769,0.052182
197400,54.83333333,0.115,0.135675,0.135602,0.135390,0.135034,0.134535,0.133886,0.133076,0.132095,0.130936,0.129580,0.128003,0.126183,0.124090,0.121656,0.118826,0.115492,0.111490,0.106511,0.099955,0.090065,0.051794
197400,54.83333333,0.120,0.122547,0.122490,0.122321,0.122040,0.121644,0.121129,0.120485,0.119705,0.118781,0.117697,0.116431,0.114967,0.113274,0.111295,0.108979,0.106228,0.102894,0.098696,0.093084,0.084459,0.051155
197400,54.83333333,0.125,0.052677,0.052670,0.052652,0.052621,0.052579,0.052525,0.052458,0.052378,0.052287,0.052182,0.052064,0.051934,0.051789,0.051631,0.051458,0.051269,0.051064,0.050839,0.050592,0.050315,0.049998
