time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface_temperature_K
4800,1.733333,316.5966,316.6063,316.6352,316.6832,316.7502,316.8361,316.9404,317.0630,317.2034,317.3614,317.5365,317.7284,317.9370,318.1620,318.4036,318.6622,318.9392,319.2378,,,,319.3434
4860,1.730300,316.7768,316.7862,316.8147,316.8620,316.9279,317.0124,317.1152,317.2359,317.3743,317.5298,317.7022,317.8909,318.0955,318.3155,318.5505,318.8004,319.0659,319.3492,,,,319.4395
4920,1.727267,316.9541,316.9634,316.9914,317.0380,317.1029,317.1861,317.2871,317.4058,317.5417,317.6942,317.8629,318.0473,318.2467,318.4611,318.6906,318.9362,319.2008,319.4898,,,,319.5742
4980,1.724233,317.1285,317.1377,317.1652,317.2110,317.2748,317.3564,317.4556,317.5719,317.7051,317.8545,318.0199,318.2006,318.3964,318.6065,318.8305,319.0678,319.3177,319.5808,,,,319.6469
5040,1.721200,317.2999,317.3089,317.3359,317.3807,317.4433,317.5233,317.6205,317.7345,317.8647,318.0107,318.1718,318.3471,318.5358,318.7369,318.9497,319.1737,319.4094,319.6595,,,,319.7149
5100,1.718167,317.4678,317.4766,317.5030,317.5469,317.6081,317.6863,317.7811,317.8920,318.0186,318.1600,318.3155,318.4843,318.6657,318.8588,319.0635,319.2799,319.5095,319.7560,,,,319.8032
5160,1.715133,317.6318,317.6404,317.6661,317.7089,317.7683,317.8443,317.9363,318.0438,318.1662,318.3030,318.4535,318.6171,318.7934,318.9825,319.1852,319.4034,319.6407,319.9040,,,,319.9468
5220,1.712100,317.7912,317.7996,317.8245,317.8660,317.9237,317.9973,318.0866,318.1910,318.3102,318.4436,318.5911,318.7523,318.9272,319.1158,319.3184,319.5354,319.7677,320.0178,,,,320.0495
5280,1.709067,317.9460,317.9541,317.9783,318.0186,318.0748,318.1466,318.2338,318.3359,318.4527,318.5837,318.7286,318.8868,319.0580,319.2416,319.4372,319.6443,319.8633,320.0959,,,,320.1178
5340,1.706033,318.0968,318.1047,318.1284,318.1678,318.2227,318.2929,318.3782,318.4780,318.5922,318.7200,318.8611,319.0148,319.1807,319.3584,319.5481,319.7508,319.9689,320.2077,,,,320.2230
5400,1.703000,318.2441,318.2519,318.2750,318.3135,318.3672,318.4357,318.5189,318.6163,318.7276,318.8522,318.9898,319.1399,319.3021,319.4760,319.6614,319.8579,320.0660,320.2871,,,,320.2939
5460,1.700400,318.3880,318.3956,318.4182,318.4557,318.5080,318.5749,318.6559,318.7509,318.8593,318.9807,319.1146,319.2605,319.4181,319.5873,319.7687,319.9637,320.1758,320.4111,,,,320.4121
5520,1.697800,318.5283,318.5357,318.5577,318.5943,318.6452,318.7104,318.7894,318.8820,318.9878,319.1064,319.2376,319.3810,319.5367,319.7045,319.8845,320.0769,320.2825,,,,,320.4985
5580,1.695200,318.6651,318.6722,318.6937,318.7294,318.7792,318.8428,318.9201,319.0107,319.1143,319.2306,319.3592,319.4997,319.6516,319.8147,319.9887,320.1739,320.3712,,,,,320.5729
5640,1.692600,318.7986,318.8057,318.8267,318.8616,318.9103,318.9725,319.0481,319.1367,319.2379,319.3514,319.4767,319.6133,319.7607,319.9186,320.0867,320.2651,320.4549,,,,,320.6431
5700,1.690000,318.9293,318.9361,318.9567,318.9908,319.0383,319.0991,319.1728,319.2592,319.3578,319.4682,319.5899,319.7226,319.8659,320.0198,320.1846,320.3617,320.5534,,,,,320.7429
5760,1.687400,319.0568,319.0635,319.0835,319.1168,319.1631,319.2223,319.2942,319.3783,319.4744,319.5822,319.7012,319.8313,319.9721,320.1235,320.2854,320.4576,320.6407,,,,,320.8110
5820,1.684800,319.1811,319.1876,319.2072,319.2396,319.2848,319.3426,319.4127,319.4949,319.5887,319.6939,319.8099,319.9363,320.0724,320.2177,320.3714,320.5332,320.7030,,,,,320.8543
5880,1.682200,319.3024,319.3088,319.3278,319.3594,319.4035,319.4598,319.5281,319.6080,319.6990,319.8008,319.9126,320.0339,320.1640,320.3023,320.4486,320.6031,320.7669,,,,,320.9106
5940,1.679600,319.4205,319.4267,319.4452,319.4760,319.5187,319.5733,319.6394,319.7166,319.8045,319.9026,320.0104,320.1276,320.2543,320.3909,320.5387,320.7004,320.8809,,,,,321.0433
6000,1.677000,319.5351,319.5411,319.5590,319.5888,319.6302,319.6830,319.7471,319.8221,319.9077,320.0040,320.1107,320.2281,320.3565,320.4965,320.6489,320.8147,320.9955,,,,,321.1468
6060,1.674400,319.6462,319.6520,319.6694,319.6984,319.7388,319.7906,319.8535,319.9274,320.0123,320.1080,320.2145,320.3317,320.4596,320.5981,320.7472,320.9068,321.0774,,,,,321.2126
6120,1.671800,319.7548,319.7606,319.7777,319.8063,319.8461,319.8972,319.9594,320.0325,320.1165,320.2109,320.3157,320.4303,320.5542,320.6867,320.8270,320.9740,321.1270,,,,,321.2408
6180,1.669200,319.8620,319.8676,319.8846,319.9127,319.9520,320.0023,320.0634,320.1351,320.2171,320.3089,320.4100,320.5202,320.6389,320.7663,320.9032,321.0517,321.2157,,,,,321.3421
